name,region,review,stars
Dennis,US,JN is simple to use - JN is simple to use ! Keeps us all on the same page at work…,5
AC,US,Excellent!!!,5
Rema,US,I absolutely love this platform for… - I absolutely love this platform for work. It’s fully customizable and does so much leg work on its own.,5
Valerie,US,"Job Nimbus Very Basic but easy for non-technical peeps - Job Nimbus is easy to train and easy to use but some things are very basic. For instance no change order function is in the system. The Report function is so much better now but it confuses people. When you open a document in one users file and get a phone call and have to click out of it to go to another.  Sometimes that document gets hidden and a bar is just there that won't display anything else.  So you have to scroll up to close it out. When you create a contract from an estimate they put the total all the way at the bottom way after the signature pane. There should be a sub-total.  It would be nice for Job Nimbus to have a scheduler encompassed in it so we don't have to use more than one platform. When you click on an Estimate, Invoice, etc. If you have more than one.... you can't just click on the next one to review.  You have to click on the customers name hyperlink and then go back to the start and then click Financials tab and then click on the next estimate, invoice, etc.  You can't stay on the same page.  Kind of Crazy. The benefits is anyone can upload pictures and documents to it.  But needs some updates.",3
Sherrie,US,"Job Nimbus does the organizing for us. - Job Nimbus makes tracking our customer's information, account status, and billing simple. The only suggestion I would make is the option to bold or highlight notes in the ""Activity"" section. This would make locating certain details on the account faster.",5
Derik,US,"Job Nimbus has been a very useful tool - Job Nimbus has been a very useful tool, but I wish you could do more with the app instead of having to be on the computer to use certain functions.",3
Kris,CA,"Terribly Useful, Easy to Navigate - Incredibly useful tool. Allows for diverse needs, kind of a catch-all for everything you could need. Contact between business and clients is recorded, documents can be uploaded, invoices made, payments applied, the board function is very helpful. The search function is fantastic because it not only pulls up every related thing, it shows what type it is (invoice, payment, budget, contact, work/material order, etc.). Also its, super easy to navigate and use. I would highly recommend JobNimbus.",5
J$,US,Far better than accu-links and cheaper… - Far better than accu-links and cheaper as well!,5
Bob,US,Just stop - You keep sending me things about job Nimbus and I don’t use Job Nimbus. I have asked you to remove me from your list and blocked your email address and I’m still getting these annoying emails. Harassment is against the law and these are harassing. I would really appreciate it if you stop sending me these emails. That’s a nice as it’s going to get,1
Paul,US,It's pretty clunky - It's pretty clunky.  I'm not able to extend the link for estimates more than 2 days.  It's difficult to track sales numbers and reset parameters.  The picture loading is abysmal.,2
Tony,US,It’s a good system but a little clunky - It’s a good system buts still pretty clunky and not very efficient to use. The user experience isn’t nice other than it being a useful tool.,4
Julian,US,This program has made my job 10x faster… - This program has made my job 10x faster and more efficient on each individual project as well as the ability to handle multiple projects at once.,5
valued customer,US,Great content - Nice virtual meeting with Rep.  Seems like a good fit.,4
Ian K,US,"User friendly and comprehensive - Great system for managing workflow and customer communications. Highly recommend, especially for businesses looking to streamline their workflow.",4
Anonymous,US,I haven't been using it that long - I haven't been using it that long. I like it so far and think it's a great tool for organization..,4
Pete Haveron,US,"Trying to get the program up and going - Trying to get the program up and going. Lots of questions on how to set it up. I have used the instruction on website and watched U Tube vidieos. My first meeting with Tyler on setting up could have been better. He needs to lelp us set up for a concrete restoration company, not a roofing company. Hping this week meeting will be more productive.",2
valued customer,US,We are very pleased with JobNimbus - We are very pleased with JobNimbus. It has helped us to keep our sales force organized and has many tools that we are looking forward to using in the future.,5
valued customer,US,Bad experience - Training and set up not educational,1
Jenn,US,Good program,5
Home Grown Roofing and Contrac,US,"Grateful - Having all of my business operations available on one platform has been the difference between success and failure this past year. I grew up in a family business and I started doing everything the old school way. In today's market, you either keep up with the technological advances or you get left behind. I'm incredibly grateful for Job Nimbus and will continue to use them for the life of my business.",5
